from_step,to_step,count
MQL,No_Conversion,646
Opportunity,IMS_Badge_Scan,298
IMS_Badge_Scan,Whitepaper_Download_5G_Test,287
Whitepaper_Download_5G_Test,AutoSens_Tech_Talk,290
AutoSens_Tech_Talk,Lab_Integration_Discussion,299
Lab_Integration_Discussion,No_Conversion,659
Keysight_Workshop_RF_Testing,Oscilloscope_Selector_Tool,299
Oscilloscope_Selector_Tool,MQL,279
MQL,PathWave_Trial_Request,261
PathWave_Trial_Request,Technical_Demo,310
Technical_Demo,SQL,283
SQL,IMS_Badge_Scan,285
Keysight_Workshop_RF_Testing,MQL,291
MQL,Oscilloscope_Selector_Tool,270
Oscilloscope_Selector_Tool,Technical_Demo,292
Technical_Demo,Loaner_Unit_Evaluation,295
Loaner_Unit_Evaluation,Whitepaper_Download_5G_Test,301
Whitepaper_Download_5G_Test,Opportunity,301
Opportunity,Customer,695
Oscilloscope_Selector_Tool,AutoSens_Tech_Talk,282
AutoSens_Tech_Talk,Whitepaper_Download_5G_Test,292
Whitepaper_Download_5G_Test,Customer,665
Lab_Integration_Discussion,IMS_Badge_Scan,270
IMS_Badge_Scan,Oscilloscope_Selector_Tool,267
Oscilloscope_Selector_Tool,LinkedIn_Ad_Click,271
LinkedIn_Ad_Click,MQL,253
Oscilloscope_Selector_Tool,Lab_Integration_Discussion,297
Lab_Integration_Discussion,MQL,290
Keysight_Workshop_RF_Testing,Whitepaper_Download_5G_Test,262
Keysight_Workshop_RF_Testing,Technical_Demo,300
Oscilloscope_Selector_Tool,PathWave_Trial_Request,296
PathWave_Trial_Request,PathWave_Trial_Request,285
Loaner_Unit_Evaluation,MQL,294
MQL,Whitepaper_Download_5G_Test,292
DesignCon_Booth_Visit,Lab_Integration_Discussion,284
Lab_Integration_Discussion,Website_Product_Page,277
Website_Product_Page,No_Conversion,685
LinkedIn_Ad_Click,Whitepaper_Download_5G_Test,294
Whitepaper_Download_5G_Test,IMS_Badge_Scan,313
IMS_Badge_Scan,PathWave_Trial_Request,289
PathWave_Trial_Request,Loaner_Unit_Evaluation,253
IMS_Badge_Scan,SQL,289
SQL,No_Conversion,631
Oscilloscope_Selector_Tool,Application_Engineer_Call,324
Keysight_University_Course,Customer,645
Website_Product_Page,Oscilloscope_Selector_Tool,293
Lab_Integration_Discussion,Customer,663
MQL,IMS_Badge_Scan,325
IMS_Badge_Scan,IMS_Badge_Scan,260
Whitepaper_Download_5G_Test,Application_Engineer_Call,314
Application_Engineer_Call,Loaner_Unit_Evaluation,294
Loaner_Unit_Evaluation,Customer,635
Loaner_Unit_Evaluation,Oscilloscope_Selector_Tool,293
Opportunity,Application_Engineer_Call,305
Oscilloscope_Selector_Tool,Oscilloscope_Selector_Tool,324
Oscilloscope_Selector_Tool,IMS_Badge_Scan,284
Whitepaper_Download_5G_Test,MQL,294
IMS_Badge_Scan,Customer,684
LinkedIn_Ad_Click,AutoSens_Tech_Talk,262
AutoSens_Tech_Talk,Technical_Demo,301
DesignCon_Booth_Visit,No_Conversion,672
Opportunity,SQL,312
SQL,Oscilloscope_Selector_Tool,299
Oscilloscope_Selector_Tool,Loaner_Unit_Evaluation,291
Loaner_Unit_Evaluation,PathWave_Trial_Request,301
PathWave_Trial_Request,No_Conversion,647
Whitepaper_Download_5G_Test,LinkedIn_Ad_Click,296
LinkedIn_Ad_Click,Website_Product_Page,301
Website_Product_Page,Whitepaper_Download_5G_Test,326
Opportunity,Keysight_Workshop_RF_Testing,260
Keysight_Workshop_RF_Testing,DesignCon_Booth_Visit,280
Lab_Integration_Discussion,DesignCon_Booth_Visit,305
DesignCon_Booth_Visit,MQL,309
MQL,Customer,669
Website_Product_Page,SQL,300
SQL,SQL,306
SQL,Customer,691
IMS_Badge_Scan,Application_Engineer_Call,326
Loaner_Unit_Evaluation,Keysight_Workshop_RF_Testing,282
Keysight_Workshop_RF_Testing,IMS_Badge_Scan,284
IMS_Badge_Scan,Website_Product_Page,313
Website_Product_Page,MQL,303
Technical_Demo,Website_Product_Page,300
Website_Product_Page,Opportunity,299
Opportunity,Lab_Integration_Discussion,302
IMS_Badge_Scan,Loaner_Unit_Evaluation,289
Loaner_Unit_Evaluation,SQL,295
Lab_Integration_Discussion,Keysight_Workshop_RF_Testing,294
AutoSens_Tech_Talk,Keysight_University_Course,282
Keysight_University_Course,Lab_Integration_Discussion,288
Lab_Integration_Discussion,Technical_Demo,287
Website_Product_Page,Customer,676
LinkedIn_Ad_Click,Keysight_University_Course,304
Keysight_University_Course,IMS_Badge_Scan,319
IMS_Badge_Scan,Opportunity,276
Opportunity,Opportunity,284
Keysight_Workshop_RF_Testing,SQL,329
SQL,Keysight_University_Course,290
Application_Engineer_Call,Opportunity,279
SQL,Application_Engineer_Call,304
Application_Engineer_Call,Customer,663
Technical_Demo,AutoSens_Tech_Talk,303
Keysight_University_Course,MQL,291
MQL,AutoSens_Tech_Talk,274
AutoSens_Tech_Talk,Opportunity,288
LinkedIn_Ad_Click,Keysight_Workshop_RF_Testing,301
Keysight_Workshop_RF_Testing,AutoSens_Tech_Talk,300
AutoSens_Tech_Talk,Keysight_Workshop_RF_Testing,310
Keysight_Workshop_RF_Testing,Keysight_University_Course,279
Keysight_University_Course,No_Conversion,632
Whitepaper_Download_5G_Test,SQL,296
SQL,Whitepaper_Download_5G_Test,268
Opportunity,Keysight_University_Course,284
IMS_Badge_Scan,MQL,286
MQL,DesignCon_Booth_Visit,274
DesignCon_Booth_Visit,IMS_Badge_Scan,296
Application_Engineer_Call,Lab_Integration_Discussion,286
DesignCon_Booth_Visit,DesignCon_Booth_Visit,257
DesignCon_Booth_Visit,LinkedIn_Ad_Click,287
LinkedIn_Ad_Click,IMS_Badge_Scan,305
SQL,Lab_Integration_Discussion,275
Opportunity,Whitepaper_Download_5G_Test,340
Whitepaper_Download_5G_Test,PathWave_Trial_Request,283
Keysight_University_Course,PathWave_Trial_Request,292
Application_Engineer_Call,SQL,307
SQL,AutoSens_Tech_Talk,310
Website_Product_Page,Application_Engineer_Call,257
SQL,DesignCon_Booth_Visit,297
Lab_Integration_Discussion,Lab_Integration_Discussion,295
Lab_Integration_Discussion,Loaner_Unit_Evaluation,278
Loaner_Unit_Evaluation,LinkedIn_Ad_Click,291
Opportunity,DesignCon_Booth_Visit,302
DesignCon_Booth_Visit,Oscilloscope_Selector_Tool,294
LinkedIn_Ad_Click,Customer,644
Technical_Demo,DesignCon_Booth_Visit,308
DesignCon_Booth_Visit,AutoSens_Tech_Talk,291
MQL,Lab_Integration_Discussion,292
Lab_Integration_Discussion,AutoSens_Tech_Talk,280
MQL,Application_Engineer_Call,270
Whitepaper_Download_5G_Test,Keysight_University_Course,278
Keysight_University_Course,SQL,309
LinkedIn_Ad_Click,Opportunity,295
DesignCon_Booth_Visit,Keysight_University_Course,288
Application_Engineer_Call,Keysight_University_Course,296
PathWave_Trial_Request,Lab_Integration_Discussion,318
MQL,Website_Product_Page,293
Website_Product_Page,IMS_Badge_Scan,295
IMS_Badge_Scan,Technical_Demo,300
Technical_Demo,Lab_Integration_Discussion,286
Loaner_Unit_Evaluation,No_Conversion,649
SQL,Keysight_Workshop_RF_Testing,267
AutoSens_Tech_Talk,Oscilloscope_Selector_Tool,295
MQL,MQL,294
Technical_Demo,Keysight_Workshop_RF_Testing,289
Keysight_Workshop_RF_Testing,Customer,658
SQL,PathWave_Trial_Request,284
PathWave_Trial_Request,LinkedIn_Ad_Click,271
Technical_Demo,LinkedIn_Ad_Click,286
IMS_Badge_Scan,Lab_Integration_Discussion,312
MQL,SQL,255
IMS_Badge_Scan,Keysight_University_Course,289
SQL,Technical_Demo,278
Technical_Demo,No_Conversion,593
Lab_Integration_Discussion,LinkedIn_Ad_Click,305
Keysight_Workshop_RF_Testing,No_Conversion,640
Loaner_Unit_Evaluation,AutoSens_Tech_Talk,280
AutoSens_Tech_Talk,SQL,272
Lab_Integration_Discussion,Oscilloscope_Selector_Tool,275
Lab_Integration_Discussion,SQL,291
PathWave_Trial_Request,Opportunity,303
Opportunity,MQL,284
LinkedIn_Ad_Click,LinkedIn_Ad_Click,299
Keysight_University_Course,Whitepaper_Download_5G_Test,273
Keysight_Workshop_RF_Testing,Loaner_Unit_Evaluation,308
Loaner_Unit_Evaluation,IMS_Badge_Scan,267
AutoSens_Tech_Talk,AutoSens_Tech_Talk,301
AutoSens_Tech_Talk,IMS_Badge_Scan,305
PathWave_Trial_Request,DesignCon_Booth_Visit,307
MQL,Loaner_Unit_Evaluation,287
DesignCon_Booth_Visit,Whitepaper_Download_5G_Test,276
LinkedIn_Ad_Click,SQL,297
Keysight_Workshop_RF_Testing,PathWave_Trial_Request,314
AutoSens_Tech_Talk,No_Conversion,655
DesignCon_Booth_Visit,Technical_Demo,281
Loaner_Unit_Evaluation,Website_Product_Page,300
MQL,Keysight_Workshop_RF_Testing,311
LinkedIn_Ad_Click,Application_Engineer_Call,282
Application_Engineer_Call,Website_Product_Page,300
Website_Product_Page,Lab_Integration_Discussion,246
Website_Product_Page,Loaner_Unit_Evaluation,301
Keysight_University_Course,Technical_Demo,265
PathWave_Trial_Request,Keysight_University_Course,313
Keysight_University_Course,DesignCon_Booth_Visit,273
PathWave_Trial_Request,MQL,261
MQL,Technical_Demo,258
Technical_Demo,Whitepaper_Download_5G_Test,302
Keysight_University_Course,Keysight_University_Course,285
Keysight_University_Course,Opportunity,325
MQL,Keysight_University_Course,277
DesignCon_Booth_Visit,PathWave_Trial_Request,289
Website_Product_Page,PathWave_Trial_Request,287
IMS_Badge_Scan,AutoSens_Tech_Talk,302
AutoSens_Tech_Talk,PathWave_Trial_Request,295
Application_Engineer_Call,Application_Engineer_Call,297
Application_Engineer_Call,Keysight_Workshop_RF_Testing,301
Keysight_Workshop_RF_Testing,Application_Engineer_Call,294
Opportunity,PathWave_Trial_Request,274
Loaner_Unit_Evaluation,Keysight_University_Course,266
SQL,LinkedIn_Ad_Click,300
Lab_Integration_Discussion,Keysight_University_Course,276
Whitepaper_Download_5G_Test,Keysight_Workshop_RF_Testing,271
Keysight_University_Course,Loaner_Unit_Evaluation,275
Keysight_Workshop_RF_Testing,LinkedIn_Ad_Click,299
PathWave_Trial_Request,Website_Product_Page,307
MQL,LinkedIn_Ad_Click,270
AutoSens_Tech_Talk,MQL,276
Oscilloscope_Selector_Tool,Website_Product_Page,278
Technical_Demo,Application_Engineer_Call,295
AutoSens_Tech_Talk,Website_Product_Page,290
Loaner_Unit_Evaluation,Technical_Demo,300
AutoSens_Tech_Talk,LinkedIn_Ad_Click,301
Whitepaper_Download_5G_Test,Loaner_Unit_Evaluation,269
Oscilloscope_Selector_Tool,DesignCon_Booth_Visit,280
Application_Engineer_Call,LinkedIn_Ad_Click,285
Keysight_Workshop_RF_Testing,Lab_Integration_Discussion,287
Oscilloscope_Selector_Tool,Keysight_University_Course,284
Whitepaper_Download_5G_Test,Website_Product_Page,301
Technical_Demo,Keysight_University_Course,284
PathWave_Trial_Request,Keysight_Workshop_RF_Testing,308
DesignCon_Booth_Visit,Loaner_Unit_Evaluation,274
SQL,Website_Product_Page,301
AutoSens_Tech_Talk,Application_Engineer_Call,274
LinkedIn_Ad_Click,Lab_Integration_Discussion,302
Keysight_Workshop_RF_Testing,Keysight_Workshop_RF_Testing,315
Opportunity,Website_Product_Page,263
Application_Engineer_Call,Technical_Demo,291
DesignCon_Booth_Visit,Opportunity,296
Website_Product_Page,AutoSens_Tech_Talk,287
Whitepaper_Download_5G_Test,DesignCon_Booth_Visit,277
Loaner_Unit_Evaluation,Lab_Integration_Discussion,279
IMS_Badge_Scan,Keysight_Workshop_RF_Testing,295
Keysight_University_Course,Website_Product_Page,302
Application_Engineer_Call,AutoSens_Tech_Talk,302
AutoSens_Tech_Talk,Loaner_Unit_Evaluation,313
PathWave_Trial_Request,Whitepaper_Download_5G_Test,273
MQL,Opportunity,315
Technical_Demo,Technical_Demo,302
IMS_Badge_Scan,DesignCon_Booth_Visit,265
Application_Engineer_Call,MQL,294
Keysight_Workshop_RF_Testing,Opportunity,283
Lab_Integration_Discussion,Application_Engineer_Call,311
PathWave_Trial_Request,AutoSens_Tech_Talk,328
Website_Product_Page,Keysight_Workshop_RF_Testing,296
Website_Product_Page,DesignCon_Booth_Visit,312
DesignCon_Booth_Visit,Website_Product_Page,273
Oscilloscope_Selector_Tool,Keysight_Workshop_RF_Testing,292
SQL,MQL,311
Opportunity,LinkedIn_Ad_Click,277
LinkedIn_Ad_Click,Loaner_Unit_Evaluation,295
Lab_Integration_Discussion,Opportunity,249
Keysight_University_Course,LinkedIn_Ad_Click,290
Whitepaper_Download_5G_Test,Lab_Integration_Discussion,266
Oscilloscope_Selector_Tool,SQL,292
Application_Engineer_Call,DesignCon_Booth_Visit,283
LinkedIn_Ad_Click,PathWave_Trial_Request,289
Opportunity,Loaner_Unit_Evaluation,271
Keysight_University_Course,AutoSens_Tech_Talk,293
Opportunity,Oscilloscope_Selector_Tool,282
Loaner_Unit_Evaluation,Loaner_Unit_Evaluation,265
Website_Product_Page,Website_Product_Page,298
Keysight_University_Course,Keysight_Workshop_RF_Testing,278
